"test","loc","genotype","code","fc","pc","note1","note2","year","rep","plot","md","lod","ht","yield","sdwt","sq","pro","oil","p_o","id","ag_score","hif_family","allele_call","shriveled","det","linolenic","oleic","herbicide","shrivel"
"LP HOLL","Cas","LLL05-14","16",".","G",NA,NA,2017,2,23,26,3,NA,1249.7,14.9,NA,42.28,20.52,62.8,"23*LLL05-14*LP HOLL*Cas*2017*16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","LLL05-14","16",".","G",NA,NA,2017,3,36,NA,2,NA,1277.6,NA,NA,42.66,21.05,63.71,"36*LLL05-14*LP HOLL*Cas*2017*16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1254","2",".","G","seg green stem and md",NA,2017,1,12,16,2,NA,1091.4,14.4,NA,42.5,20.22,62.72,"12*N16-1254*LP HOLL*Cas*2017*2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1254","2",".","G","seg green stem and md",NA,2017,2,27,15,2.5,NA,1521.5,14.1,NA,41.59,19.89,61.48,"27*N16-1254*LP HOLL*Cas*2017*2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1254","2",".","G",NA,NA,2017,3,35,NA,1.5,NA,1202.4,NA,NA,40.51,20.17,60.68,"35*N16-1254*LP HOLL*Cas*2017*2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1258","3",".","G","seg green stem",NA,2017,1,3,15,3,NA,1103.5,15.7,NA,44.72,20.61,65.33,"3*N16-1258*LP HOLL*Cas*2017*3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1258","3",".","G","seg green stem",NA,2017,2,32,14,2.5,NA,1027.5,14.7,NA,43.72,20.91,64.63,"32*N16-1258*LP HOLL*Cas*2017*3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1258","3",".","G",NA,NA,2017,3,38,NA,1.5,NA,1220.5,NA,NA,42.11,21.28,63.39,"38*N16-1258*LP HOLL*Cas*2017*3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1286","4",".","G",NA,NA,2017,1,9,25,2.5,NA,1493.4,12.6,NA,41.01,21.91,62.92,"9*N16-1286*LP HOLL*Cas*2017*4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1286","4",".","G",NA,NA,2017,2,21,24,2.5,NA,1421.4,13.4,NA,41.18,21.44,62.62,"21*N16-1286*LP HOLL*Cas*2017*4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1286","4",".","G",NA,NA,2017,3,47,NA,2.5,NA,1416,NA,NA,41.95,21.51,63.46,"47*N16-1286*LP HOLL*Cas*2017*4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1287","5",".","G",NA,NA,2017,1,7,23,3.5,NA,1429.5,13.2,NA,42.4,21.52,63.92,"7*N16-1287*LP HOLL*Cas*2017*5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1287","5",".","G",NA,NA,2017,2,22,26,3,NA,1273.2,13.4,NA,41.44,21.51,62.95,"22*N16-1287*LP HOLL*Cas*2017*5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1287","5",".","G",NA,NA,2017,3,42,NA,3,NA,1534.2,NA,NA,41.27,21.64,62.91,"42*N16-1287*LP HOLL*Cas*2017*5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1288","6",".","G",NA,NA,2017,1,2,26,4,NA,1398.9,13.7,NA,41.57,21.74,63.31,"2*N16-1288*LP HOLL*Cas*2017*6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cas","N16-1288","6",".","G",NA,NA,2017,2,29,24,3.5,NA,1452.2,12.6,NA,41.2,21.76,62.96,"29*N16-1288*LP HOLL*Cas*2017*6",NA,NA,NA,NA,NA,NA,NA,NA,NA
