"test","loc","genotype","code","fc","pc","note1","note2","year","rep","plot","md","lod","ht","yield","sdwt","sq","pro","oil","p_o","id","ag_score","hif_family","allele_call","shriveled","det","linolenic","oleic","herbicide","shrivel"
"LP 5 Early","Cas","N17-593","6","P","t",NA,NA,2018,2,54,50,1.5,29,758.3,15.7,2,43.79,22.35,66.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Cas","N17-593","6","P",".",NA,NA,2018,3,128,NA,NA,NA,685.1,15.5,NA,45.88,22.07,67.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Cas","N17-627","7","P","s",NA,NA,2018,1,25,49,2.5,30,486.4,12.7,2,41.58,23.35,64.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Cas","N17-627","7","P","s","WC",NA,2018,2,99,50,2,24,379,13.5,2,42.34,23.65,65.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Cas","N17-627","7","P",".",NA,NA,2018,3,124,NA,NA,NA,557.4,14.8,NA,43.62,23.34,66.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Cas","N17-643","8","W","g",NA,NA,2018,1,29,47,2,24,448.3,15.2,2,40.67,23.37,64.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Cas","N17-643","8","W","g",NA,NA,2018,2,91,48,2,29,705.7,15.3,2,42.04,22.67,64.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Cas","N17-643","8","W",".",NA,NA,2018,3,117,NA,NA,NA,648.8,17.2,NA,43.6,22.65,66.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Cas","N17-697","9","P","g",NA,NA,2018,1,14,47,2.5,25,738,12.6,2.5,42.96,22,64.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Cas","N17-697","9","P","g",NA,NA,2018,2,55,48,2,25,576.7,13.9,2.5,45.3,21.16,66.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Cas","N17-697","9","P",".",NA,NA,2018,3,131,NA,NA,NA,619.5,14,NA,45,21.43,66.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-820","1","p","g",NA,NA,2018,1,28,34,1.5,27,1225.5,13.5,NA,41.55,23.13,64.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-820","1","p","g",NA,NA,2018,2,82,33,1,23,995,12.8,NA,39.36,24.05,63.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-820","1","p","g",NA,NA,2018,3,146,NA,NA,27,1147.8,NA,NA,41.84,23.67,65.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-814","10","p","t",NA,NA,2018,1,42,38,1,24,951.6,13.7,NA,40.49,24.03,64.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-814","10","p","t",NA,NA,2018,2,88,38,1,21,940.5,15,NA,40.88,24.22,65.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-814","10","p","t",NA,NA,2018,3,131,NA,NA,27,1074.5,NA,NA,43.52,22.83,66.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-839","11","p","t",NA,NA,2018,1,24,32,2.5,47,1386.3,14.7,NA,44.4,22.7,67.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-839","11","p","t",NA,NA,2018,2,94,34,2,46,1092.3,14.6,NA,42.75,22.81,65.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-839","11","p","t",NA,NA,2018,3,141,NA,NA,49,1311.8,NA,NA,44.31,21.79,66.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-845","12","p","t",NA,NA,2018,1,47,34,1.5,32,1213.4,12.8,NA,42.12,22.02,64.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-845","12","p","t",NA,NA,2018,2,65,33,1,22,752.1,12,NA,42.04,23.07,65.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-845","12","p","t",NA,NA,2018,3,103,NA,NA,31,1185.4,NA,NA,42.71,22.43,65.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-893","13","p","t",NA,NA,2018,1,45,36,1,32,1024.2,14.1,NA,44.73,21.62,66.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-893","13","p","t",NA,NA,2018,2,51,33,1.5,34,819.3,11.1,NA,45.64,20.82,66.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-893","13","p","t",NA,NA,2018,3,102,NA,NA,28,1025.4,NA,NA,44.96,21.89,66.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-953","14","p","g",NA,NA,2018,1,46,36,1,22,937.3,12.2,NA,45.23,22.91,68.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-953","14","p","g",NA,NA,2018,2,63,35,1,22,842.9,12.5,NA,46.01,22.5,68.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-953","14","p","g",NA,NA,2018,3,109,NA,NA,20,1095.1,NA,NA,46.44,22.47,68.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-987","15","w","g",NA,NA,2018,1,36,30,2,37,738.5,11.1,NA,43.86,21.44,65.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-987","15","w","g",NA,NA,2018,2,89,31,1.5,42,931.1,9.7,NA,44.23,21.1,65.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-987","15","w","g",NA,NA,2018,3,115,NA,NA,32,772.3,NA,NA,45.36,21.99,67.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1058","16","p","t",NA,NA,2018,1,41,33,1,25,795.9,14.5,NA,39.39,25.48,64.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1058","16","p","t",NA,NA,2018,2,98,34,1,23,753.1,16.6,NA,39.81,24.74,64.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1058","16","p","t",NA,NA,2018,3,133,NA,NA,27,910.5,NA,NA,38.78,25.74,64.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-590","17","p","g",NA,NA,2018,1,5,33,1.5,32,1235.5,12.3,NA,41.73,23.89,65.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-590","17","p","g",NA,NA,2018,2,95,34,1,27,847.2,11.5,NA,40.57,24.06,64.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-590","17","p","g",NA,NA,2018,3,136,NA,NA,30,1036.3,NA,NA,42.72,23.19,65.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-666","18","p","t",NA,NA,2018,1,40,38,1.5,32,1089,12.7,NA,43.55,23.24,66.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-666","18","p","t",NA,NA,2018,2,81,35,1.5,30,1161.3,12.2,NA,43.05,23.24,66.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-666","18","p","t",NA,NA,2018,3,101,NA,NA,28,1175.9,NA,NA,43.09,23.26,66.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-675","19","p","t",NA,NA,2018,1,44,33,3,42,1194.3,12,NA,38.76,24.66,63.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-675","19","p","t",NA,NA,2018,2,100,32,3,42,930.1,11.9,NA,39.27,24.34,63.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-675","19","p","t",NA,NA,2018,3,111,NA,NA,42,962.6,NA,NA,40.04,24.41,64.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-580","2","p","t",NA,NA,2018,1,35,33,1.5,40,832.7,11.2,NA,38.6,25.18,63.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-580","2","p","t",NA,NA,2018,2,72,33,1.5,41,944,11.2,NA,40.29,24.35,64.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-580","2","p","t",NA,NA,2018,3,132,NA,NA,40,980.8,NA,NA,41.58,23.72,65.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-718","20","p","t",NA,NA,2018,1,50,32,1.5,24,890.2,11.1,NA,39.58,23.99,63.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-718","20","p","t",NA,NA,2018,2,78,33,1,21,813.2,12.5,NA,38.68,24.66,63.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-718","20","p","t",NA,NA,2018,3,122,NA,NA,23,911.2,NA,NA,39.44,25.7,65.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-960","21","p","g",NA,NA,2018,1,11,33,1,23,1200,12,NA,42.14,23.72,65.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-960","21","p","g",NA,NA,2018,2,58,31,1,19,603.9,10.5,NA,42.54,23.28,65.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-960","21","p","g",NA,NA,2018,3,149,NA,NA,28,1157.6,NA,NA,44.58,23.11,67.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-612","22","p","t",NA,NA,2018,1,21,35,1,28,992.2,11.3,NA,40.57,23.47,64.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-612","22","p","t",NA,NA,2018,2,57,34,1,18,248.6,11.1,NA,40.28,22.85,63.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-612","22","p","t",NA,NA,2018,3,138,NA,NA,31,807,NA,NA,42.54,22.95,65.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-646","23","p","g",NA,NA,2018,1,2,32,2,39,1119.4,12.8,NA,41.23,25.11,66.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-646","23","p","g",NA,NA,2018,2,69,32,1.5,38,1136.4,11.5,NA,40.46,24.73,65.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-646","23","p","g",NA,NA,2018,3,135,NA,NA,32,900.9,NA,NA,39.05,25,64.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-650","24","w","g",NA,NA,2018,1,10,33,2,43,1074.7,10.8,NA,43.06,24.02,67.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-650","24","w","g",NA,NA,2018,2,64,31,1,23,362.2,11,NA,40.98,24.35,65.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-650","24","w","g",NA,NA,2018,3,120,NA,NA,38,853.1,NA,NA,39.98,24.95,64.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-924","25","p","g",NA,NA,2018,1,37,33,1,25,750.8,12.6,NA,41.4,22.56,63.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-924","25","p","g",NA,NA,2018,2,60,34,1,27,895.3,12.7,NA,40.62,22.9,63.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-924","25","p","g",NA,NA,2018,3,142,NA,NA,29,926.1,NA,NA,42.19,22.46,64.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-948","26","p","t",NA,NA,2018,1,32,38,1.5,28,1000.4,12.7,NA,44.35,22.5,66.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-948","26","p","t",NA,NA,2018,2,96,39,1,30,1217.1,12,NA,44.55,22.39,66.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-948","26","p","t",NA,NA,2018,3,117,NA,NA,32,839.8,NA,NA,45.3,22.88,68.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1032","27","p","t",NA,NA,2018,1,38,34,1,26,816.5,12,NA,39.07,25.52,64.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1032","27","p","t",NA,NA,2018,2,54,36,1,24,738.8,12.8,NA,41.74,24.35,66.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1032","27","p","t",NA,NA,2018,3,105,NA,NA,13,1064.1,NA,NA,38.77,25.7,64.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-530","28","p","t",NA,NA,2018,1,48,35,1,28,1287.9,11.8,NA,40.53,22.83,63.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-530","28","p","t",NA,NA,2018,2,66,34,1,22,833.6,11.1,NA,39.96,22.81,62.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-530","28","p","t",NA,NA,2018,3,147,NA,NA,31,832.5,NA,NA,42.12,22.96,65.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-559","29","p","t",NA,NA,2018,1,3,33,2,46,1428.8,14.9,NA,41.47,24.18,65.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-559","29","p","t",NA,NA,2018,2,70,31,2.5,44,834.4,12.6,NA,40.07,24.52,64.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-559","29","p","t",NA,NA,2018,3,107,NA,NA,41,801.1,NA,NA,37.72,25.73,63.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-896","3","p","t",NA,NA,2018,1,39,32,2,42,991.7,12.2,NA,45.64,21.37,67.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-896","3","p","t",NA,NA,2018,2,99,32,1.5,44,1190.3,12.2,NA,46.23,20.77,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-896","3","p","t",NA,NA,2018,3,134,NA,NA,41,972.4,NA,NA,47.3,21.03,68.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-671","30","p","t",NA,NA,2018,1,33,32,1.5,30,1026.6,11.1,NA,41.99,23.21,65.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-671","30","p","t",NA,NA,2018,2,74,33,1,28,762.8,11.6,NA,41.4,23.24,64.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-671","30","p","t",NA,NA,2018,3,139,NA,NA,31,1019,NA,NA,43.08,23.02,66.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-735","31","p","t",NA,NA,2018,1,7,38,1.5,32,1385.4,13.1,NA,43.61,23.27,66.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-735","31","p","t",NA,NA,2018,2,71,41,1.5,29,922.6,12.4,NA,42.08,23.42,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-735","31","p","t",NA,NA,2018,3,106,NA,NA,27,1085.8,NA,NA,42.15,23.34,65.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-806","32","p","g",NA,NA,2018,1,1,34,1.5,34,1307.5,12.9,NA,41.43,23.15,64.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-806","32","p","g",NA,NA,2018,2,91,34,1,25,943.6,12.2,NA,40.43,23.5,63.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-806","32","p","g",NA,NA,2018,3,110,NA,NA,30,1120.5,NA,NA,40.61,23.44,64.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-810","33","p","t",NA,NA,2018,1,25,30,1.5,32,1142.4,12.7,NA,41.32,24.14,65.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-810","33","p","t",NA,NA,2018,2,97,30,1,24,769,11.6,NA,40.44,23.97,64.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-810","33","p","t",NA,NA,2018,3,137,NA,NA,28,630,NA,NA,41,24.1,65.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-872","34","p","t",NA,NA,2018,1,14,39,2,46,1390.5,17,NA,47.36,22.05,69.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-872","34","p","t",NA,NA,2018,2,68,39,1.5,38,1164.7,15.7,NA,45.54,22.64,68.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-872","34","p","t",NA,NA,2018,3,116,NA,NA,34,937.1,NA,NA,45.55,22.72,68.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-967","35","p","t",NA,NA,2018,1,22,35,1.5,34,1221.4,12.4,NA,41.5,23.74,65.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-967","35","p","t",NA,NA,2018,2,77,35,1,24,617.2,11.8,NA,40.23,24.05,64.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-967","35","p","t",NA,NA,2018,3,123,NA,NA,32,724.1,NA,NA,39.73,24.59,64.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1019","36","p","g",NA,NA,2018,1,12,35,1.5,28,1229.3,12.1,NA,42.36,22.85,65.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1019","36","p","g",NA,NA,2018,2,73,34,1,24,782.1,10.8,NA,39.74,23.71,63.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1019","36","p","g",NA,NA,2018,3,127,NA,NA,19,622.7,NA,NA,41.04,23.55,64.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1235","37","p","t",NA,NA,2018,1,15,33,2.5,NA,1351.7,13,NA,40.75,24.16,64.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1235","37","p","t",NA,NA,2018,2,67,33,1.5,34,612,11.9,NA,38.23,25.02,63.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1235","37","p","t",NA,NA,2018,3,125,NA,NA,33,919.5,NA,NA,39.58,24.84,64.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-550","38","p","g",NA,NA,2018,1,4,35,1.5,36,1558.7,13.5,NA,43.41,23.47,66.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-550","38","p","g",NA,NA,2018,2,55,39,1.5,34,1358.5,14.4,NA,41.17,23.68,64.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-550","38","p","g",NA,NA,2018,3,128,NA,NA,34,1220.7,NA,NA,42.46,23.22,65.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-551","39","p","t",NA,NA,2018,1,8,35,1.5,32,1326.9,12.9,NA,44.18,22.33,66.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-551","39","p","t",NA,NA,2018,2,90,33,1,28,1014.8,10.6,NA,43.43,22.43,65.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-551","39","p","t",NA,NA,2018,3,112,NA,NA,26,1190.1,NA,NA,42.96,22.85,65.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-977","4","p","t",NA,NA,2018,1,20,33,3,48,1268,15,NA,43.17,23.86,67.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-977","4","p","t",NA,NA,2018,2,86,34,1.5,43,958.5,13.8,NA,39.6,25.23,64.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-977","4","p","t",NA,NA,2018,3,108,NA,NA,40,948,NA,NA,41.37,24.28,65.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-751","40","p","t",NA,NA,2018,1,19,32,1.5,32,1264.1,14,NA,44.23,21.89,66.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-751","40","p","t",NA,NA,2018,2,93,35,1,27,1005.9,12.8,NA,44.41,21.88,66.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-751","40","p","t",NA,NA,2018,3,129,NA,NA,30,976.8,NA,NA,43.44,22.41,65.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-792","41","p","g",NA,NA,2018,1,49,37,1,27,1025.2,15.4,NA,40.36,23.66,64.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-792","41","p","g",NA,NA,2018,2,84,39,1.5,24,800.1,16,NA,40.73,24.13,64.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-792","41","p","g",NA,NA,2018,3,119,NA,NA,34,932,NA,NA,41,23.51,64.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-800","42","p","g",NA,NA,2018,1,34,37,1,27,1017.6,12.8,NA,41.25,23.02,64.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-800","42","p","g",NA,NA,2018,2,61,35,1.5,29,1173,11.7,NA,41.39,23.01,64.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-800","42","p","g",NA,NA,2018,3,144,NA,NA,30,946.8,NA,NA,40.86,23.69,64.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-860","43","p","g",NA,NA,2018,1,27,36,1,31,995.4,18.4,NA,42.29,24.53,66.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-860","43","p","g",NA,NA,2018,2,75,32,1.5,29,1005.5,16.3,NA,40.72,25.06,65.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-860","43","p","g",NA,NA,2018,3,113,NA,NA,24,892.7,NA,NA,41.21,24.96,66.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-885","44","p","t",NA,NA,2018,1,13,37,1.5,43,1222.7,16.3,NA,50.28,19.76,70.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-885","44","p","t",NA,NA,2018,2,79,39,2,40,1003.5,15.4,NA,48.36,20.37,68.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-885","44","p","t",NA,NA,2018,3,121,NA,NA,46,944.7,NA,NA,50.43,19.62,70.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1028","45","w","t",NA,NA,2018,1,26,34,1,24,937.1,11.9,NA,38.62,25.86,64.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1028","45","w","t",NA,NA,2018,2,87,34,1,23,793.4,11.5,NA,37.15,26.32,63.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1028","45","w","t",NA,NA,2018,3,118,NA,NA,30,944.2,NA,NA,38.93,25.48,64.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1029","46","w","t",NA,NA,2018,1,9,36,1,24,1328.6,13.1,NA,37.99,26.47,64.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1029","46","w","t",NA,NA,2018,2,76,37,1,19,1014.8,12.5,NA,37.97,25.96,63.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1029","46","w","t",NA,NA,2018,3,124,NA,NA,22,740.7,NA,NA,38.77,25.56,64.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1105","47","p","g",NA,NA,2018,1,23,33,1.5,31,1208.3,12.2,NA,39.58,24.14,63.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1105","47","p","g",NA,NA,2018,2,80,34,1,25,915.2,11.2,NA,38.19,24.21,62.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","N17-1105","47","p","g",NA,NA,2018,3,148,NA,NA,28,1030.8,NA,NA,38.79,24.53,63.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","Ellis 5.0","48","w","g",NA,NA,2018,1,29,35,1,28,1298.8,10.4,NA,39.26,23.25,62.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","Ellis 5.0","48","w","g",NA,NA,2018,2,59,39,1,24,986.7,11.4,NA,39.29,22.98,62.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","Ellis 5.0","48","w","g",NA,NA,2018,3,143,NA,NA,30,915.7,NA,NA,40.01,23.07,63.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","TN11-5140","49","w","g","too late",NA,2018,1,31,48,1.5,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","TN11-5140","49","w","g","too late",NA,2018,2,83,49,1.5,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP 5 Early","Ply","TN11-5140","49","w","g","too late",NA,2018,3,104,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
