"test","loc","population","cross","maturity_group","color","plot_length","row","year","plant_number","fc","det","pc","md","ht","lod","ag_score","sq","pro","oil","oil_13","po_13","p_o","id"
"Plant Rows","Cla","HR10-2-559","CHECK","4.0999999999999996",NA,"18/14","N17-1",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","S12-2418STS","CHECK","4.8",NA,"18/14","N17-2",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","NC-Miller","CHECK","5.5",NA,"18/14","N17-3",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-001","4.5-5.0","Blue","18/14","N17-4",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-001","4.5-5.0","Blue","18/14","N17-5",2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-001","4.5-5.0","Blue","18/14","N17-6",2017,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-001","4.5-5.0","Blue","18/14","N17-7",2017,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-001","4.5-5.0","Blue","18/14","N17-8",2017,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-001","4.5-5.0","Blue","18/14","N17-9",2017,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-001","4.5-5.0","Blue","18/14","N17-10",2017,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-001","4.5-5.0","Blue","18/14","N17-11",2017,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-12",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-13",2017,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-14",2017,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-15",2017,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-16",2017,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-17",2017,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-18",2017,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-19",2017,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-20",2017,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-21",2017,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-22",2017,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-23",2017,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-24",2017,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-25",2017,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-26",2017,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-27",2017,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-28",2017,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-29",2017,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-30",2017,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-31",2017,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-32",2017,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-33",2017,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-34",2017,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-35",2017,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-36",2017,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-37",2017,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-38",2017,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-39",2017,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-40",2017,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-41",2017,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-42",2017,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-43",2017,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-44",2017,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-45",2017,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-46",2017,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-47",2017,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-48",2017,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-49",2017,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-50",2017,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-51",2017,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-52",2017,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-53",2017,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-54",2017,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-55",2017,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-56",2017,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-57",2017,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-58",2017,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-59",2017,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-60",2017,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-61",2017,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-62",2017,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-004","4.5-5.0","Blue","18/14","N17-63",2017,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-64",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-65",2017,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-66",2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-67",2017,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-68",2017,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-69",2017,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-70",2017,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-71",2017,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-72",2017,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-73",2017,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-74",2017,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-75",2017,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-76",2017,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-77",2017,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-78",2017,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-79",2017,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-80",2017,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-81",2017,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-82",2017,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-83",2017,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-84",2017,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-85",2017,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-86",2017,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-87",2017,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-88",2017,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-89",2017,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-90",2017,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-91",2017,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-92",2017,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-93",2017,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-94",2017,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-005","4.5-5.0","Blue","18/14","N17-95",2017,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-009","4.5-5.0","Blue","18/14","N17-96",2017,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-009","4.5-5.0","Blue","18/14","N17-97",2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-009","4.5-5.0","Blue","18/14","N17-98",2017,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-009","4.5-5.0","Blue","18/14","N17-99",2017,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-009","4.5-5.0","Blue","18/14","N17-100",2017,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-009","4.5-5.0","Blue","18/14","N17-101",2017,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-009","4.5-5.0","Blue","18/14","N17-102",2017,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-103",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-104",2017,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-105",2017,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-106",2017,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-107",2017,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-108",2017,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-109",2017,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-110",2017,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-111",2017,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla",NA,"CAMP",NA,NA,"18/14","N17-112",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla",NA,"CAMP",NA,NA,"18/14","N17-113",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-114",2017,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-115",2017,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-116",2017,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-117",2017,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-118",2017,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-119",2017,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-120",2017,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-121",2017,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-122",2017,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-123",2017,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-124",2017,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-125",2017,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-126",2017,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-127",2017,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-010","4.5-5.0","Blue","18/14","N17-128",2017,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-129",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-130",2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-131",2017,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-132",2017,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-133",2017,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-134",2017,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-135",2017,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-136",2017,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-137",2017,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-138",2017,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-139",2017,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-140",2017,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-012","4.5-5.0","Blue","18/14","N17-141",2017,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-014","4.5-5.0","Blue","18/14","N17-142",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plant Rows","Cla","2016 OH F5 SP","MX14-014","4.5-5.0","Blue","18/14","N17-143",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
